field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2706",PG&E,2014/10/20 00:00:00,13:30,38.7825333,-122.6926283,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"2707",PG&E,2015/01/16 00:00:00,7:07,38.775327,-122.700442,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2015
"2708",PG&E,2020/10/31 00:00:00,6:58,37.942367,-122.701127,Vegetation,.26 - 9.99 Acres,Overhead,Equipment - PG&E,False,2020
"2709",PG&E,2017/12/16 00:00:00,11:51,38.817063,-122.704119,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"2714",PG&E,2018/06/05 00:00:00,13:45,38.5432,-122.7202,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2715",PG&E,2017/10/09 00:00:00,1:45,38.8575533,-122.722065,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2716",PG&E,2018/09/10 00:00:00,20:37,38.01883,-122.722462,Vegetation,100 - 299 Acres,Overhead,Unknown,False,2018
"2719",PG&E,2014/10/06 00:00:00,8:53,38.89258,-122.73766,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2720",PG&E,2015/02/23 00:00:00,13:25,38.50455,-122.74081,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2721",PG&E,2018/09/21 00:00:00,23:02,38.64276,-122.745328,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2726",PG&E,2015/03/14 00:00:00,2:30,38.90381,-122.7579,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2729",PG&E,2019/10/23 00:00:00,21:27,38.79586,-122.76725,,100+ Acres,Overhead,Under Investigation,False,2019
"2738",PG&E,2018/08/01 00:00:00,17:58,38.915506,-122.798958,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2744",PG&E,2016/09/25 00:00:00,10:35,38.801857,-122.817551,Vegetation,1000 - 4999 Acres,Overhead,Equipment/ Facility Failure,False,2016
"2776",PG&E,2018/10/16 00:00:00,16:30,38.7754256,-122.8975855,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"2784",PG&E,2017/10/21 00:00:00,0:30,38.773,-122.908,Vegetation,">5,000",Overhead,Unknown,False,2017
"2789",PG&E,2014/08/27 00:00:00,15:19,38.59295,-122.91833,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2790",PG&E,2018/06/10 00:00:00,17:19,38.415698,-122.918379,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
